Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
3MINDIA,3M India Ltd.,,132.53,132.53,185.51,"1,972.03","1,972.03",0.0,"2,148.55",234.84,181.87,179.71,132.53,,10.93,8.46,8.36,6.16,6.72,9.02,5.11,0.0,82.98,,3,2.34,5.63,0,0.0,0,0.0,,"33,126.88",13.69,125.22,14.07,0,15.33,14.07,0.0
3PLAND,3p Land Holdings Ltd.,,0.35,0.35,0.42,26.74,26.74,0.0,0.78,0.55,0.48,0.48,0.35,,70.11,61.53,61.43,45.42,1.32,1.79,1.32,0.0,2.91,,"1,323.66","1,323.66",0,0,0.0,0,0.0,,15.15,10.77,15.37,10.89,0,0.32,10.9,0.04
63MOONS,63 Moons Technologies Ltd.,,-12.29,-12.29,-8.29,577.24,577.24,2.0,31.27,6.35,2.35,-11.77,-12.29,,20.31,7.52,-37.63,-39.3,-2.12,0.4,-2.02,0.0,5.16,,11.05,11.05,0,-16.27,-24.12,116.27,124.12,,-747.65,-5.19,-25.54,2.22,116.27,0.12,2.22,-0.18
AARTIIND,Aarti Industries Ltd.,,29.47,29.47,42,195.81,195.81,3.0,247.75,53.75,41.22,36.27,29.47,,21.69,16.63,14.64,11.89,15.05,14.03,6.83,0.73,57.45,,0.98,0.6,4.79,8.48,5.95,91.52,94.05,,"25,020.92",5.8,26.72,5.31,91.51,6.72,5.31,0.02
AARVEEDEN,Aarvee Denim and Exports Ltd.,,-27.36,-27.36,-13.66,71.46,71.46,0.0,120.01,0.01,-13.7,-35.41,-27.36,,0,-11.41,-29.5,-22.79,-38.29,-9.31,-9.03,2.51,39.61,,1.19,0.77,1.83,0,0.0,0,0.0,,441.89,1.57,"33,476.44",0.15,0,0.25,0.15,-1.55
AAVAS,AAVAS Financiers  Ltd.,,36.94,36.62,39.5,305.89,305.89,0.0,140.52,106,103.38,45.01,36.88,,75.43,73.56,32.02,26.24,12.05,20.24,3.23,2.64,0.13,,1.8,1.8,0,0,0.0,0,0.0,,"24,213.94",21.95,29.1,17.21,0,7.91,17.21,0.02
ABAN,Aban Offshore Ltd.,,-39.63,-39.63,-29.21,-112.99,-112.99,0.0,26.72,-24.84,-35.26,-49.22,-39.63,,-92.98,-131.97,-184.24,-148.33,0,31.25,-24.17,-0.02,16.29,,0.41,0.35,1.75,0,0.0,0,0.0,,180.9,1.16,-1.25,1.1,0,-0.26,1.1,-1.34
ABFRL,Aditya Birla Fashion & Retail Ltd.,,-7.95,-7.95,3.23,29.34,29.34,0.0,56.62,7.29,-3.04,-8.49,-7.1,,12.87,-5.36,-14.98,-12.53,-24.19,-4.92,-6.65,0.3,0.53,,0.89,0.47,0.2,0,0.0,0,0.0,,"19,052.99",3.68,28.57,3.55,0,6.86,3.55,-0.04
ABHISHEK,Abhishek Corporation Ltd.,,-13.17,-13.17,-0.97,-545.64,-545.64,0.0,11.71,-0.97,-13.17,-13.17,-13.17,,-8.29,-112.5,-112.5,-112.5,0,2.41,-23.56,-0.03,20.94,,0.01,0.01,3.91,0,0.0,0,0.0,,0,0,0,0,0,0.0,0,0.0
ACCELYA,Accelya Solutions India Ltd.,,30.28,30.28,52.95,153.75,153.75,52.0,168.16,65.03,42.35,39.36,30.28,,38.67,25.18,23.4,18,19.69,24,14.13,0.0,0.75,,2.76,2.76,0,115.59,66.09,-15.59,33.91,,"1,709.79",6.81,17.61,6.93,-15.59,7.58,6.93,0.03
ACE,Action Construction Equipment Ltd.,,7.06,7.06,8.29,46.13,46.13,0.5,108.12,11.87,10.64,9.56,7.06,,10.97,9.83,8.84,6.53,15.31,21.49,7.61,0.1,116.53,,1.2,0.66,4.62,0,0.0,0,0.0,,"1,767.94",1.44,13.13,1.43,0,3.35,1.43,0.05
ADANIENT,Adani Enterprises Ltd.,,3.35,3.35,4.46,37.53,37.53,1.0,121.47,12.69,11.58,5.05,3.35,,10.44,9.53,4.15,2.76,8.93,22.91,2.83,0.67,102.82,,1.08,0.94,12.15,0,0.0,0,0.0,,"115,697.33",8.66,82.9,8.49,0,27.46,8.49,0.0
ADANIGREEN,Adani Green Energy Ltd.,,1.93,1.93,2.35,11,11,0.0,15.81,3.59,3.57,2.7,2.33,,22.72,22.56,17.1,14.71,21.15,12.02,2.54,3.09,17.29,,0.64,0.39,1.02,0,0.0,0,0.0,,"177,840.52",71.91,316.44,69.84,0,100.36,69.84,0.0
ADFFOODS,ADF Foods Industries Ltd.,,18.32,17.56,20.87,140.95,140.95,3.0,115.99,27.57,24.68,24.11,17.98,,23.76,21.27,20.78,15.5,12.75,17,11.44,0.0,0.78,,6.76,5.52,3.7,0,0.0,0,0.0,,"1,774.31",7.5,31.55,7.69,0,6.33,7.69,0.02
ADORWELD,Ador Welding Ltd.,,-8.82,-8.82,-0.65,174.58,174.58,0.0,328.88,20,11.84,-11.53,-8.82,,6.08,3.59,-3.5,-2.68,-5.04,6.64,-3.19,0.12,119.24,,1.6,1.13,7.16,0,0.0,0,0.0,,418.41,0.94,15.38,0.91,0,1.72,0.91,-0.03
ADROITINFO,Adroit Infotech Ltd.,,0,0,0.6,3.45,3.45,0.0,3.38,1.49,0.89,0.01,0,,44.08,26.41,0.44,-0.07,-0.07,25.67,-0.03,0.04,42.37,,0.64,0.64,0,0,0.0,0,0.0,,18.03,2.92,6.62,2.88,0,2.82,2.88,0.0
ADSL,Allied Digital Services Ltd.,,1.55,1.45,4.03,94.36,94.36,0.75,18.97,4.73,2.23,1.54,1.53,,24.91,11.74,8.14,8.07,1.62,2.21,1.28,0.11,15.96,,2.91,2.53,2.77,32.3,12.27,67.7,87.73,,259.08,2.69,10.81,2.29,67.69,0.46,2.29,0.04
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,-0.88,-0.88,-0.18,9.36,9.36,0.0,5.94,-0.43,-1.14,-1.18,-0.88,,-7.23,-19.13,-19.84,-14.85,-9.43,-10.85,-6.33,0.01,0.42,,1.17,1.09,0,0,0.0,0,0.0,,262.35,9.55,-131.93,9.63,0,6.12,9.63,-0.02
AGARIND,Agarwal Industrial Corporation Ltd.,,21.01,21.01,32.51,161.34,161.34,1.8,812.28,49.91,38.41,28.89,21.01,,6.14,4.72,3.55,2.58,13.02,19.17,6.71,0.62,259.53,,2.12,1.73,18.38,7.13,4.61,92.87,95.39,,254.63,0.31,4.97,0.19,92.86,0.98,0.19,0.13
AGI,AGI Greenpac Ltd.,,12.71,12.71,32.37,190.66,190.66,4.0,286.34,47.62,28.86,17.75,13.61,,16.62,10.07,6.19,4.75,7.13,8.51,3.08,0.65,64.86,,1.34,0.68,4.25,24.62,10.35,75.38,89.65,,"1,773.87",0.96,5.76,0.54,75.37,0.81,0.54,0.09
AGRITECH,Agri-Tech (India) Ltd.,,-5.4,-5.4,-5.37,150.1,150.1,0.0,0.32,-4.18,-4.21,-5.41,-5.41,,"-1,286.01","-1,297.53","-1,664.59","-1,664.59",-3.6,-2.8,-3.05,0.18,0.18,,4.01,4,10.88,0,0.0,0,0.0,,33.8,175.21,-13.62,94.38,0,0.2,94.6,-0.18
AGROPHOS,Agro Phos India Ltd.,,1.57,1.57,2.11,20.55,20.55,0.0,20.35,3.27,2.73,1.77,1.57,,16.07,13.4,8.68,7.71,7.63,12.03,4.37,0.31,0.53,,2.14,1.04,1.14,0,0.0,0,0.0,,35.82,0.87,5.4,0.58,0,0.57,0.58,0.13
AIAENG,AIA Engineering Ltd.,,51.41,51.41,61.05,434.1,434.1,9.0,262.19,78.77,69.13,68.7,51.41,,30.04,26.36,26.2,19.6,11.84,15.65,10.69,0.04,54.55,,8.84,7.7,5.9,0,0.0,0,0.0,,"18,349.47",7.42,24.7,7.81,0,4.72,7.81,0.03
AIRAN,Airan Ltd.,,0.44,0.44,0.78,6.88,6.88,0.0,5.03,0.95,0.61,0.57,0.45,,18.8,12.16,11.42,8.86,6.47,8.2,5.17,0.07,58.37,,2.94,2.94,0,0,0.0,0,0.0,,200.04,3.18,16.92,3.1,0,2.27,3.1,0.03
AJANTPHARM,Ajanta Pharma Ltd.,,77.59,77.59,90.53,331.8,331.8,9.5,312.66,117.36,104.54,103.75,77.7,,37.53,33.43,33.18,24.85,23.41,30.13,19.12,0.0,0.83,,3.56,2.33,1.32,12.26,10.53,87.74,89.47,,"15,440.33",5.68,15.13,5.74,87.73,5.4,5.74,0.04
AJMERA,Ajmera Realty and Infra India Ltd.,,6.86,6.86,7.07,169.28,169.28,1.4,81.35,23.61,23.19,8.9,6.66,,29.01,28.5,10.93,8.18,3.93,5.86,1.6,1.03,19.56,,9.7,2.37,0.54,21.03,19.79,78.97,80.21,,"1,017.24",3.52,12.14,1.44,78.96,0.69,1.44,0.06
AKSHARCHEM,AksharChem (India) Ltd.,,15.24,15.24,23.83,339.8,339.8,3.5,300.49,30.52,21.93,21.09,15.24,,10.15,7.29,7.01,5.07,4.48,6.09,3.51,0.05,69.33,,1.9,0.93,4.25,0,0.0,0,0.0,,203.26,0.82,8.12,0.78,0,0.69,0.78,0.07
AKSHOPTFBR,Aksh Optifibre Ltd.,,0.14,0.14,1.09,16.41,16.41,0.0,15.15,2.53,1.57,0.19,0.14,,16.68,10.38,1.25,0.9,0.83,8.67,0.4,0.56,0.44,,0.73,0.59,3.14,0,0.0,0,0.0,,215.87,0.88,5.25,0.35,0,0.32,0.35,0.03
AKZOINDIA,Akzo Nobel India Ltd.,,45.6,45.6,62.22,282.73,282.99,50.0,532.18,80,63.41,61.14,45.63,,15.03,11.91,11.48,8.57,16.13,20.06,8.2,0.0,1.0,,1.6,1.15,2.56,74.56,54.68,25.44,45.32,,"9,769.58",4.03,26.84,4.34,25.43,8.16,4.34,0.02
ALBERTDAVD,Albert David Ltd.,,38.8,38.8,53.22,428.2,428.2,6.0,433.57,63.65,49.23,48.09,38.8,,14.68,11.35,11.09,8.94,9.06,10.77,6.48,0.0,0.75,,2.77,2.33,0.94,0,0.0,0,0.0,,180.08,0.73,4.96,0.87,0,0.88,0.87,0.1
ALEMBICLTD,Alembic Ltd.,,0.52,0.52,0.67,32.2,32.2,0.2,2.82,0.81,0.65,0.64,0.52,,28.62,23.21,22.84,18.48,1.61,1.91,1.42,0.0,7.72,,1.71,0.78,1.33,115.28,89.18,-15.28,10.82,,"2,634.82",36.44,127.31,36.53,-15.28,3.19,36.53,0.01
ALKALI,Alkali Metals Ltd.,,-0.9,-0.9,2.1,47.67,48.48,0.8,54.38,6.14,2.85,0.22,-1.19,,11.29,5.24,0.39,-2.17,-2.48,4.89,-1.23,0.4,56.81,,1.19,0.45,1.97,0,0.0,0,0.0,,69.19,1.25,11.06,0.92,0,1.04,0.92,-0.02
ALKEM,Alkem Laboratories Ltd.,,140.93,140.93,157.59,637.87,637.87,30.0,603.9,178.92,162.28,157.62,140.95,,29.62,26.87,26.09,23.34,22.09,24.67,15.64,0.18,67.01,,1.94,1.42,4.77,19.86,17.76,80.14,82.24,,"32,807.45",4.54,15.34,4.59,80.13,4.35,4.59,0.05
ALLSEC,ALLSEC Technologies Ltd.,,10.48,10.48,21.76,102.55,102.55,15.0,123.79,26.62,15.34,13.96,10.48,,21.5,12.39,11.28,8.46,10.21,13.92,7.91,0.0,93.47,,4.13,4.13,0,0,0.0,0,0.0,,443.82,2.35,10.94,2.56,0,3.09,2.56,0.03
