Symbol,Company Name,Per Share Ratios,Basic EPS (Rs.),Diluted EPS (Rs.),Cash EPS (Rs.),Book Value [ExclRevalReserve]/Share (Rs.),Book Value [InclRevalReserve]/Share (Rs.),Dividend / Share(Rs.),Revenue from Operations/Share (Rs.),PBDIT/Share (Rs.),PBIT/Share (Rs.),PBT/Share (Rs.),Net Profit/Share (Rs.),Profitability Ratios,PBDIT Margin (%),PBIT Margin (%),PBT Margin (%),Net Profit Margin (%),Return on Networth / Equity (%),Return on Capital Employed (%),Return on Assets (%),Total Debt/Equity (X),Asset Turnover Ratio (%),Liquidity Ratios,Current Ratio (X),Quick Ratio (X),Inventory Turnover Ratio (X),Dividend Payout Ratio (NP) (%),Dividend Payout Ratio (CP) (%),Earnings Retention Ratio (%),Cash Earnings Retention Ratio (%),Valuation Ratios,Enterprise Value (Cr.),EV/Net Operating Revenue (X),EV/EBITDA (X),MarketCap/Net Operating Revenue (X),Retention Ratios (%),Price/BV (X),Price/Net Operating Revenue,Earnings Yield
3MINDIA,3M India Ltd.,,194.38,194.38,245.31,"1,841.76","1,841.76",0.0,"2,454.37",338.56,287.63,284.42,194.38,,13.79,11.71,11.58,7.91,10.55,15.27,8.25,0,104.2,,3.17,2.4,6.73,0,0.0,0,0,,"20,642.06",7.47,54.12,7.71,0,10.27,7.71,0.01
3PLAND,3p Land Holdings Ltd.,,2.46,2.46,2.54,16.69,16.69,0.0,1.03,2.86,2.78,2.63,2.46,,278.57,270.93,256.25,240,14.75,16.65,14.73,0,6.14,,"1,215.06","1,215.06",0,0,0.0,0,0,,5.24,2.84,1.02,2.94,0,0.18,2.94,0.82
63MOONS,63 Moons Technologies Ltd.,,-25.68,-25.68,-20.81,591.35,591.35,2.0,30.11,2.88,-1.99,-24.41,-25.68,,9.57,-6.61,-81.08,-85.29,-4.34,-0.33,-4.17,0,4.89,,14.3,14.3,0,-9.38,-11.58,109.38,111.58,,-840.71,-6.06,-63.3,1.56,109.38,0.08,1.56,-0.55
AARTIIND,Aarti Industries Ltd.,,30.04,30.04,39.94,166.54,166.54,3.5,229.25,53.95,44.04,37.07,30.04,,23.53,19.21,16.16,13.1,18.03,18.18,8.59,0.62,65.59,,1.04,0.62,5.11,19.97,15.02,80.03,84.98,,"14,830.10",3.71,15.78,3.32,80.02,4.57,3.32,0.04
AARVEEDEN,Aarvee Denim and Exports Ltd.,,-17.88,-17.88,-1.52,98.46,98.46,0.0,240.7,15.26,-1.09,-23.67,-17.87,,6.34,-0.45,-9.83,-7.42,-18.15,-0.64,-4.97,1.78,67.0,,1.1,0.6,2.54,0,0.0,0,0,,419.75,0.74,11.72,0.03,0,0.08,0.03,-2.16
AAVAS,AAVAS Financiers  Ltd.,,31.86,31.49,34.3,267.86,267.86,0.0,115.2,86.52,84.03,38.56,31.81,,75.1,72.93,33.47,27.6,11.87,8.77,3.25,2.55,11.78,,49.06,49.06,0,0,0.0,0,0,,"13,443.18",14.9,19.84,10.29,0,4.42,10.29,0.03
ABAN,Aban Offshore Ltd.,,-763.77,-763.77,-736.17,-73.24,-73.24,0.0,41.21,-791.95,-819.49,-835.91,-763.71,,"-1,921.62","-1,988.44","-2,028.29","-1,853.09",0,"1,120.43",-374.76,-0.13,20.22,,0.45,0.39,2.57,0,0.0,0,0,,125.31,0.52,-0.03,0.33,0,-0.19,0.33,-55.34
ABFRL,Aditya Birla Fashion & Retail Ltd.,,-1.88,-1.88,9.45,14.03,14.03,0.0,112.96,16.67,5.34,-0.12,-1.88,,14.76,4.73,-0.1,-1.66,-13.37,10.31,-1.49,2.18,90.23,,0.73,0.32,3.72,0,0.0,0,0,,"13,950.79",1.6,10.81,1.36,0,10.92,1.36,-0.01
ABHISHEK,Abhishek Corporation Ltd.,,-13.73,-13.73,-1.53,-532.87,-532.87,0.0,9.54,-1.53,-13.73,-13.73,-13.73,,-16.04,-143.89,-143.89,-143.89,0,2.58,-20.82,-0.03,14.47,,0.01,0.01,3.21,0,0.0,0,0,,0,0,0,0,0,0,0,0.0
ACCELYA,Accelya Solutions India Ltd.,,30.28,30.28,52.95,153.75,153.75,35.0,168.16,65.03,42.35,39.36,30.28,,38.67,25.18,23.4,18,19.69,24,14.13,0.04,78.52,,2.76,2.76,0,115.59,66.09,-15.59,33.91,,"1,254.48",5,12.92,5.07,-15.59,5.55,5.07,0.04
ACE,Action Construction Equipment Ltd.,,4.58,4.58,5.79,39,39,0.5,101.88,8.45,7.3,6.01,4.64,,8.29,7.16,5.89,4.55,11.89,16.92,5.53,0.17,121.55,,1.05,0.47,4.28,21.75,17.44,78.25,82.56,,458.1,0.4,4.78,0.34,78.24,0.89,0.34,0.13
ADANIENT,Adani Enterprises Ltd.,,6.35,6.35,7.45,34.2,34.2,1.0,147.38,10.51,9.41,8.82,6.35,,7.13,6.38,5.98,4.31,18.58,21.12,5.03,0.73,116.73,,1.02,0.85,10.61,22.03,18.78,77.97,81.22,,"17,072.60",1.05,14.77,0.93,77.96,4.02,0.93,0.05
ADANIGREEN,Adani Green Energy Ltd.,,0.46,0.46,0.88,9.2,9.2,0.0,7.97,1.86,1.84,0.48,0.86,,23.35,23.1,6.01,10.76,9.32,8.43,2.09,1.13,19.49,,1.87,1.73,3.01,0,0.0,0,0,,"25,452.33",20.41,87.42,19.27,0,16.7,19.27,0.01
ADFFOODS,ADF Foods Industries Ltd.,,15.72,15.72,18.13,113.39,113.39,3.0,95.33,23.39,20.68,19.87,15.43,,24.53,21.69,20.84,16.18,13.6,17.6,10.97,0.1,67.83,,2.77,2.19,7.06,19.08,16.24,80.92,83.76,,344.23,1.77,7.21,1.79,80.91,1.5,1.79,0.09
ADORWELD,Ador Welding Ltd.,,20.79,20.79,28.64,197.71,197.71,6.5,386.57,38.64,30.79,24.46,20.79,,9.99,7.96,6.32,5.37,10.51,14.95,6.32,0.3,117.66,,1.73,1.36,8.45,62.53,45.39,37.47,54.61,,322.08,0.61,6.13,0.47,37.46,0.92,0.47,0.11
