Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
3MINDIA,3M India Ltd.,,"3,076.40",0,"3,076.40","3,078.30",34.72,"3,113.02",,"1,300.85",621.93,0,-8.53,349.41,3.64,53.28,432.76,"2,753.32",359.7,0,359.7,,95.63,0,-2.11,0,93.52,266.18,266.18,266.18,,,236.28,236.28,,0,0,,0,0.0,,0,0.0,0
3PLAND,3p Land Holdings Ltd.,,2.15,0,2.15,2.15,0,2.15,,0,0,0,0,0.13,0,0.1,0.23,0.46,1.69,0,1.69,,0.43,0,-0.01,0,0.42,1.27,1.27,1.27,,,0.71,0.71,,0,0,,0,0.0,,0,0.0,0
63MOONS,63 Moons Technologies Ltd.,,144.39,0,144.39,144.39,66.7,211.09,,0,0,0,0,105.73,0.39,12.07,103.74,221.94,-10.86,-52.08,-62.94,,0,0,-1.6,0,-1.6,-61.34,-61.34,-61.34,,,-13.31,-13.31,,0,0,,0,0.0,,9.22,0.0,0
AARTIIND,Aarti Industries Ltd.,,"5,925.97",779.51,"5,146.46","6,040.18",0.69,"6,040.87",,"2,832.64",210.42,727.94,-197,353.58,101.54,244.18,401.77,"4,675.07","1,365.80",0,"1,365.80",,239.25,78,22.5,0,183.75,"1,182.05","1,182.05","1,182.05",,,32.61,32.61,,471.84,"1,903.19",,1.96,112.75,,126.88,0.0,70
AARVEEDEN,Aarvee Denim and Exports Ltd.,,409.9,0,409.9,421.06,3.6,424.66,,283.51,0,0,-3.2,32.81,43.08,25.49,118.27,499.97,-75.31,0,-75.31,,0,0,-12.79,0,-12.79,-62.52,-62.52,-41.42,,,-17.66,-17.66,,0,0,,0,0.0,,0,0.0,0
AAVAS,AAVAS Financiers  Ltd.,,"1,304.36",0,"1,304.36","1,304.36",1.2,"1,305.56",,0,0,5.71,0,232.24,477.5,23.76,88.89,850.7,454.86,0,454.86,,91.23,0,6.83,0,98.06,356.8,356.8,356.8,,,45.31,45.02,,0,0,,0,0.0,,0,0.0,0
ABAN,Aban Offshore Ltd.,,82.07,0,82.07,82.07,14.19,96.26,,2.75,0,0,0,10.69,79.33,40.53,39.24,206.5,-110.24,9.88,-100.36,,0,0,5.38,0,5.38,-105.74,-105.74,-105.74,,,-18.12,-18.12,,0,0,,0,0.0,,0,0.0,0
ABFRL,Aditya Birla Fashion & Retail Ltd.,,"7,781.31",0,"7,781.31","7,824.20",94.09,"7,918.29",,809.76,"3,730.08",0,-884.01,"1,043.43",340.19,946.85,"2,045.46","8,031.76",-113.47,0,-113.47,,0,0,-32.77,0,-32.77,-80.7,-80.7,-80.7,,,-0.87,-0.87,,0,0,,0,0.0,,0,0.0,0
ABHISHEK,Abhishek Corporation Ltd.,,27.17,0,27.17,27.17,0.24,27.4,,0.57,0,0,0,10.32,0,17.7,16.91,45.49,-18.09,0,-18.09,,0,0,0,0,0,-18.09,-18.09,-18.09,,,-11.3,-11.3,,0,0.57,,0,1.93,,0,0.0,0
ACCELYA,Accelya Solutions India Ltd.,,327.17,0,327.17,327.17,16.01,343.19,,0,0,0,0,134.93,3.43,35.41,67.92,241.69,101.49,0,101.49,,25.12,0,-1.06,0,24.05,77.44,77.44,77.44,,,51.88,51.88,,0,0,,0,0.0,,50.75,0.0,620
