Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
3MINDIA,3M India Ltd.,,"2,762.73",0,"2,762.73","2,764.88",41.58,"2,806.46",,"1,028.57",591.57,0,-8.22,297.82,3.61,57.38,515.33,"2,486.06",320.4,0,320.4,,93.35,0,8.08,0,101.43,218.97,218.97,218.97,,,194.38,194.38,,0,0,,0,0,,0,0,0
3PLAND,3p Land Holdings Ltd.,,1.85,0,1.85,1.85,3.8,5.64,,0,0,0,0,0.14,0.14,0.14,0.36,0.78,4.87,-0.14,4.73,,1.17,0,-0.87,0,0.3,4.43,4.43,4.43,,,2.46,2.46,,0,0,,0,0,,0,0,0
63MOONS,63 Moons Technologies Ltd.,,137.23,0,137.23,138.73,122.25,260.99,,0,0,0,0,109.86,0.39,22.46,137.85,270.56,-9.58,-102.91,-112.49,,0,0,5.85,0,5.85,-118.34,-118.34,-118.34,,,-25.68,-25.68,,0,0,,0,0,,11.11,0,100
AARTIIND,Aarti Industries Ltd.,,"4,332.06",413.78,"3,918.28","3,994.41",10.51,"4,004.92",,"1,765.13",218.2,582.01,-16.09,292.34,121.55,172.64,223.28,"3,359.06",645.86,0,645.86,,113,8.5,18,0,122.5,523.36,523.36,523.36,,,30.04,30.04,,541.88,963.99,,2.83,83.01,,104.54,21.11,70
AARVEEDEN,Aarvee Denim and Exports Ltd.,,561.34,0,561.34,564.68,1.73,566.41,,348.38,0,0,-1.56,43.17,52.98,38.35,140.61,621.93,-55.53,0,-55.53,,0,0,-13.6,0,-13.6,-41.93,-41.93,-41.93,,,-17.88,-17.88,,0,0,,0,0,,0,0,0
AAVAS,AAVAS Financiers  Ltd.,,902.29,0,902.29,902.29,0.8,903.09,,0,0,4.9,0,147.07,356.07,19.56,58.1,601.05,302.05,0,302.05,,63.97,0,-11.05,0,52.93,249.12,249.12,249.12,,,31.86,31.49,,0,0,,0,0,,0,0,0
ABAN,Aban Offshore Ltd.,,240.54,0,240.54,240.54,9.87,250.41,,33.67,0,0,0,40.56,95.85,160.72,105.45,"5,129.22","-4,878.81",0,"-4,878.81",,0,0,-421.42,0,-421.42,"-4,457.39","-4,457.39","-4,457.39",,,-763.77,-763.77,,0,0,,5.21,7.08,,0,0,0
ABFRL,Aditya Birla Fashion & Retail Ltd.,,"8,679.33",0,"8,679.33","8,742.53",65.09,"8,807.62",,783.03,"3,781.52",0,-358.79,"1,058.40",422.73,876.82,"2,253.00","8,816.71",-9.09,0,-9.09,,0,0,136.1,0,136.1,-145.19,-145.19,-145.19,,,-1.88,-1.88,,0,0,,0,0,,0,0,0
ABHISHEK,Abhishek Corporation Ltd.,,15.28,0,15.28,15.28,0.24,15.52,,0,0,0,0,10.63,0,19.53,7.34,37.5,-21.98,0,-21.98,,0,0,0,0,0,-21.98,-21.98,-21.98,,,-13.73,-13.73,,0,0,,0,0.47,,0,0,0
ACCELYA,Accelya Solutions India Ltd.,,251,0,251,251.01,18.76,269.77,,0,0,0,0,114.65,4.47,33.85,58.06,211.02,58.75,0,58.75,,13.68,0,-0.12,0,13.56,45.19,45.19,45.19,,,30.28,30.28,,0,0,,0,0,,52.24,0,350
ACE,Action Construction Equipment Ltd.,,"1,155.70",0,"1,155.70","1,156.20",4.03,"1,160.23",,809.64,16.35,50.57,-31.5,85.62,14.66,13.01,133.68,"1,092.03",68.2,0,68.2,,16.93,0,-1.37,0,15.56,52.64,52.64,52.64,,,4.58,4.58,,0,0,,0,0,,11.45,2.35,25
ADANIENT,Adani Enterprises Ltd.,,"16,189.49",0,"16,189.49","16,208.69",410.33,"16,619.02",,0,"12,303.72",0,376.27,275.87,381.01,120.97,"2,506.97","15,964.81",654.21,315.34,969.55,,179.34,0,90.61,0.71,270.66,698.89,698.89,698.89,,,6.35,6.35,,0,0,,0,0,,153.97,31.66,100
ADANIGREEN,Adani Green Energy Ltd.,,"1,246.08",0,"1,246.08","1,246.84",332.96,"1,579.80",,0,"1,369.81",0,-165.09,28.82,213.15,3.04,55.12,"1,504.84",74.97,0,74.97,,0,0,-59.29,0,-59.29,134.26,134.26,134.26,,,0.46,0.46,,0,0,,0,0,,0,0,0
ADFFOODS,ADF Foods Industries Ltd.,,182.09,0,182.09,194.47,9.37,203.85,,81.81,7.47,0,-0.47,15.12,1.33,5.52,52.21,162.98,40.86,-0.33,40.54,,9.82,0,-0.75,0,9.07,31.47,31.47,31.47,,,15.72,15.72,,0,0,,0,0,,6.01,1.22,30
ADORWELD,Ador Welding Ltd.,,523.52,0,523.52,525.74,10.16,535.9,,360.26,6.53,29.49,-0.58,42.51,8.61,10.68,45.14,502.64,33.26,0,33.26,,9.09,0,-4.1,0,4.99,28.27,28.27,28.27,,,20.79,20.79,,0,0,,0,0,,17.68,3.64,65
ADROITINFO,Adroit Infotech Ltd.,,8.02,0,8.02,8.02,0.14,8.16,,0,0,0,0,4.79,0.2,0.33,2.66,7.98,0.19,-14.53,-14.34,,0,0,-0.03,0,-0.03,-14.32,-14.32,-14.32,,,-7.84,-7.84,,0,0,,0,0,,0,0,0
ADSL,Allied Digital Services Ltd.,,93.64,0,93.64,94.19,5.58,99.77,,0,23.07,0,-1,31.59,6.19,13.7,17.93,91.48,8.29,0,8.29,,1.49,1.49,0.41,0,0.41,7.88,7.88,7.88,,,1.57,1.57,,0,0,,0,0,,0,0,10
ADVANIHOTR,Advani Hotels and Resorts (India) Ltd.,,65.03,0,65.03,70.13,1.03,71.16,,0,0,5.54,0,24.16,0.23,3.74,23.43,57.1,14.05,0,14.05,,3.64,0,-0.82,-0.03,2.79,11.26,11.26,11.26,,,2.44,2.44,,0,0,,0,0,,8.78,1.81,95
AGARIND,Agarwal Industrial Corporation Ltd.,,751.6,0,751.6,751.6,4.54,756.13,,296.68,347.23,56.43,4.57,5.23,8.87,7.93,8.95,735.9,20.24,0,20.24,,5.47,0,0,0,5.47,14.76,14.76,14.76,,,14.39,14.39,,0,0,,0,0,,1.85,0.38,15
AGI,AGI Greenpac Ltd.,,"1,840.27",0,"1,840.27","1,859.07",20.3,"1,879.37",,725.67,46.03,0,-81.9,227.48,73.48,142.88,670.73,"1,804.37",75,0,75,,12.94,12.94,26.58,0,26.58,48.42,48.42,48.42,,,6.69,6.69,,0,0,,0,0,,26.15,0,150
AGRITECH,Agri-Tech (India) Ltd.,,0.38,0,0.38,0.38,0.92,1.3,,0,0,0.35,0,0.25,0,0.02,0.22,0.84,0.47,0,0.47,,0,0,0,0,0,0.47,0.47,0.47,,,0.78,0.78,,0,0,,0,0,,0,0,0
AGROPHOS,Agro Phos India Ltd.,,51.94,0,51.94,51.94,18.1,70.05,,39.87,12.77,0,-5.91,2.53,2.27,1.13,12.91,65.57,4.47,0,4.47,,1.35,0.61,-0.19,0,0.55,3.92,3.92,3.92,,,1.93,1.93,,0,0,,0,0,,0,0,0
AIAENG,AIA Engineering Ltd.,,"2,498.06",0,"2,498.06","2,587.62",485.48,"3,073.11",,"1,029.43",102.03,0,44.55,99.53,5.2,95.51,739.44,"2,115.70",957.41,0,957.41,,142.5,0,-17.62,0,124.88,832.53,832.53,832.53,,,88.27,88.27,,0,0,,0,0,,254.67,44.44,"1,350.00"
AIRAN,Airan Ltd.,,56.67,0,56.67,56.67,1.49,58.16,,0,0,15.77,0,24.86,0.71,4.01,5.2,50.55,7.6,0,7.6,,2.5,0,-1.29,0,1.21,6.39,6.39,6.39,,,0.53,0.53,,0,0,,0,0,,0,0,0
AJANTPHARM,Ajanta Pharma Ltd.,,"2,167.07",0,"2,167.07","2,196.42",184.2,"2,380.62",,556.22,98.73,0,9.02,437.82,9.1,91.29,561.85,"1,764.03",616.59,-3.92,612.67,,168.09,0,3.45,0,171.54,441.13,441.13,441.13,,,50.55,50.55,,0,0,,0,0,,113.44,2.48,650
AJMERA,Ajmera Realty and Infra India Ltd.,,322.62,0,322.62,322.62,3.56,326.18,,0,0,150.66,0,25.13,65.08,1.85,45.75,288.47,37.71,0,37.71,,9.49,0,0,0,9.49,28.22,28.22,28.22,,,7.91,7.91,,0,0,,0,0,,4.97,0,14
AKSHARCHEM,AksharChem (India) Ltd.,,248.3,0,248.3,260.15,1.05,261.2,,148.68,6.39,0,-6.21,10.41,1.11,6.73,74.99,242.09,19.11,0,19.11,,5,0,-1.68,0.07,3.39,15.72,15.72,15.72,,,19.17,19.17,,0,0,,0,0,,2.87,0.59,35
AKSHOPTFBR,Aksh Optifibre Ltd.,,240.21,0,240.21,249.97,5.18,255.14,,114.73,7.13,0,18.29,30.72,26.35,17.13,57.42,271.76,-16.61,-235.95,-252.57,,0,0,-4.86,0.02,-4.83,-247.73,-247.73,-247.73,,,-15.23,-15.23,,0,0,,0,0,,0,0,0
AKZOINDIA,Akzo Nobel India Ltd.,,"2,629.90",0.00,"2,629.90","2,661.80",37.60,"2,699.40",,"1,200.90",267.50,0.00,-25.9,255.10,9.30,79.00,585.10,"2,371.00",328.40,-5.20,323.20,,93.00,0.0,-7.20,0.00,85.80,237.40,237.40,237.40,,,52.13,52.13,,0.0,0.00,,0.0,0.00,,131.80,0.0,140.00
ALBERTDAVD,Albert David Ltd.,,318.43,0,318.43,320.8,7.11,327.91,,56.1,52.32,0,-3.03,90.34,0.8,7.67,94.74,298.95,28.95,0,28.95,,10.6,0,-0.81,0,9.79,19.17,19.17,19.17,,,33.59,33.59,,0,0,,0,0,,8.94,0,70
ALEMBICLTD,Alembic Ltd.,,67.04,0,67.04,73.69,93.47,167.16,,24.59,0,0.28,6.84,20.79,0.28,3.23,17.48,73.48,93.68,0,93.68,,0,0,0.28,-0.15,0.13,93.55,93.55,93.55,,,3.64,3.64,,0,0,,0,0,,6.19,0,30
