Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
3MINDIA,3M India Ltd.,,"2,806.32",0,"2,806.32","2,808.76",32.83,"2,841.59",,867.41,633.15,0,-13.88,301.06,1.09,41.88,513.41,"2,344.13",497.46,0,497.46,,186.53,0,-12.06,0,174.47,322.99,322.99,322.99,,,286.72,286.72,,0,0,,0,0,,0,0,0
3PLAND,3p Land Holdings Ltd.,,1.84,0,1.84,1.84,0,1.84,,0,0,0,0,0.17,1.35,0.16,0.38,2.06,-0.22,0,-0.22,,0,0,-0.3,0,-0.3,0.08,-0.2,-0.2,,,-0.11,-0.11,,0,0,,0,0,,0,0,0
63MOONS,63 Moons Technologies Ltd.,,145.82,0,145.82,147.19,160.08,307.27,,0,0,0,0,105.19,4.1,18.12,158.62,286.04,21.23,-10.27,10.96,,9.4,0,1.47,0,10.87,0.09,0.09,0.09,,,0.02,0.02,,0,0,,0,0,,11.11,0,100
AARTIIND,Aarti Industries Ltd.,,"4,506.40",0,"4,506.40","4,547.82",4.53,"4,552.35",,"2,538.52",143.13,527.11,-47.55,230.71,179.15,151.03,239.2,"3,961.30",591.05,0,591.05,,129.16,37.4,18.01,0,109.77,481.28,481.28,481.28,,,59.1,59.1,,470.02,"1,274.40",,0.78,77.39,,42.45,8.22,220
AARVEEDEN,Aarvee Denim and Exports Ltd.,,747.9,0,747.9,751.56,2.79,754.34,,470.44,0,0,-38.24,54.39,49.3,33.98,182.76,752.61,1.73,0,1.73,,0.46,0.44,0.62,0,0.64,1.09,1.09,1.09,,,0.46,0.46,,0,0,,0,0,,0,0,0
AAVAS,AAVAS Financiers  Ltd.,,709.97,0,709.97,709.97,1,710.97,,0,0,4.92,0,117.24,255.37,9.72,57.13,453.28,257.69,0,257.69,,50.38,0,31.4,0,81.78,175.91,175.91,175.91,,,23.65,23.08,,0,0,,0,0,,0,0,0
ABAN,Aban Offshore Ltd.,,262.89,0,262.89,262.89,155.89,418.78,,37.09,0,0,0,49.42,108.61,154.26,112.51,461.89,-43.11,0,-43.11,,47.5,0,-21.29,0,26.21,-69.32,-69.32,-69.32,,,-11.88,-11.88,,0,0,,10.36,13.27,,0,0,0
ABFRL,Aditya Birla Fashion & Retail Ltd.,,"8,043.18",0,"8,043.18","8,117.72",64.78,"8,182.50",,604.21,"3,549.26",0,-228.5,913.02,187.42,282.33,"2,725.66","8,033.40",149.1,0,149.1,,21.84,0,-193.96,0,-172.12,321.22,321.22,321.22,,,4.15,4.15,,0,0,,0,0,,0,0,0
ABHISHEK,Abhishek Corporation Ltd.,,18.39,0,18.39,18.39,0.2,18.59,,0,0,3.58,0,11.65,123.89,22.31,2.18,163.6,-145.01,0,-145.01,,0,0,0,0,0,-145.01,-145.01,-145.01,,,-90.58,-90.58,,0,0,,0,0,,0,0,0
ACCELYA,Accelya Solutions India Ltd.,,336.7,0,336.7,354.98,14.87,369.84,,0,0,0,0,126.53,5.49,32.11,86.81,250.94,118.9,0,118.9,,32.85,0,-2.58,0,30.27,88.64,88.64,88.64,,,59.38,59.38,,0,0,,0,0,,37.32,5.28,100
