Symbol,Company Name,INCOME,Revenue From Operations [Gross],Less: Excise/Sevice Tax/Other Levies,Revenue From Operations [Net],Total Operating Revenues,Other Income,Total Revenue,EXPENSES,Cost Of Materials Consumed,Purchase Of Stock-In Trade,Operating And Direct Expenses,"Changes In Inventories Of FG,WIP And Stock-In Trade",Employee Benefit Expenses,Finance Costs,Depreciation And Amortisation Expenses,Other Expenses,Total Expenses,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Exceptional Items,Profit/Loss Before Tax,Tax Expenses-Continued Operations,Current Tax,Less: MAT Credit Entitlement,Deferred Tax,Tax For Earlier Years,Total Tax Expenses,Profit/Loss After Tax And Before ExtraOrdinary Items,Profit/Loss From Continuing Operations,Profit/Loss For The Period,OTHER ADDITIONAL INFORMATION,EARNINGS PER SHARE,Basic EPS (Rs.),Diluted EPS (Rs.),"VALUE OF IMPORTED AND INDIGENIOUS RAW MATERIALS STORES, SPARES AND LOOSE TOOLS",Imported Raw Materials,Indigenous Raw Materials,"STORES, SPARES AND LOOSE TOOLS",Imported Stores And Spares,Indigenous Stores And Spares,DIVIDEND AND DIVIDEND PERCENTAGE,Equity Share Dividend,Tax On Dividend,Equity Dividend Rate (%)
3MINDIA,3M India Ltd.,,"2,418.62",0,"2,418.62","2,420.36",26.87,"2,447.23",,938.21,535.35,0,20.87,336.77,2.43,59.68,351.49,"2,244.79",202.44,0,202.44,,61.23,0,-8.09,0,53.14,149.3,149.3,149.3,,,132.53,132.53,,0,0,,0.0,0.0,,0,0.0,0
3PLAND,3p Land Holdings Ltd.,,1.41,0,1.41,1.41,0,1.41,,0,0,0,0,0.12,0,0.12,0.3,0.54,0.86,0,0.86,,0.03,0,1.23,-1.04,0.23,0.64,0.64,0.64,,,0.35,0.35,,0,0,,0.0,0.0,,0,0.0,0
63MOONS,63 Moons Technologies Ltd.,,142.42,0,142.42,144.08,86.69,230.77,,0,0,0,0,95.66,0.42,18.43,105.84,220.35,10.42,-64.63,-54.22,,3.65,0,-1.24,0,2.41,-56.63,-56.63,-56.63,,,-12.29,-12.29,,0,0,,0.0,0.0,,9.22,0.0,100
AARTIIND,Aarti Industries Ltd.,,"4,609.96",491.11,"4,118.85","4,316.71",1.95,"4,318.66",,"1,922.84",185.79,704.04,-65.41,358.28,86.16,218.31,276.65,"3,686.66",632,0,632,,110,13.5,22,0,118.5,513.5,513.5,513.5,,,29.47,29.47,,605.53,"1,038.53",,0.88,101.73,,43.56,0.0,60
AARVEEDEN,Aarvee Denim and Exports Ltd.,,279.13,0,279.13,281.55,5.77,287.32,,134.42,0,0,64.09,19.29,50.95,32.15,69.51,370.4,-83.08,0,-83.08,,0,0,-18.89,0,-18.89,-64.19,-64.19,-64.19,,,-27.36,-27.36,,0,0,,0.0,0.0,,0,0.0,0
AAVAS,AAVAS Financiers  Ltd.,,"1,103.17",0,"1,103.17","1,103.17",2.16,"1,105.34",,0,0,6.18,0,172.14,458.24,20.6,57.7,752.01,353.33,0,353.33,,67.01,0,-3.18,0,63.83,289.5,289.5,289.5,,,36.94,36.62,,0,0,,0.0,0.0,,0,0.0,0
ABAN,Aban Offshore Ltd.,,155.93,0,155.93,155.93,33.11,189.04,,14.24,0,0,0,29.34,81.51,60.79,51.76,476.34,-287.3,0,-287.3,,0,0,-22.73,0,-22.73,-264.57,-231.3,-231.3,,,-39.63,-39.63,,0,0,,6.02,1.17,,0,0.0,0
ABFRL,Aditya Birla Fashion & Retail Ltd.,,"5,146.01",0,"5,146.01","5,181.14",72.64,"5,253.78",,419.23,"1,508.83",0,609.56,823.91,498.39,945,"1,225.30","6,030.22",-776.44,0,-776.44,,0,0,-126.8,0,-126.8,-649.64,-649.64,-649.64,,,-7.95,-7.95,,0,0,,0.0,0.0,,0,0.0,0
ABHISHEK,Abhishek Corporation Ltd.,,18.74,0,18.74,18.74,0.09,18.83,,0,0,0,0,7.02,0,19.53,13.37,39.92,-21.08,0,-21.08,,0,0,0,0,0,-21.08,-21.08,-21.08,,,-13.17,-13.17,,0,0,,0.0,1.24,,0,0.0,0
ACCELYA,Accelya Solutions India Ltd.,,251,0,251,251.01,18.76,269.77,,0,0,0,0,114.65,4.47,33.85,58.06,211.02,58.75,0,58.75,,13.68,0,-0.12,0,13.56,45.19,45.19,45.19,,,30.28,30.28,,0,0,,0.0,0.0,,52.24,0.0,520
